80_mock1	80_mock2	80_mock3	80_mock4	80_mock5	85_mock1	85_mock2	85_mock3	85_mock4	85_mock5	90_mock1	90_mock2	90_mock3	90_mock4	90_mock5	95_mock1	95_mock2	95_mock3	95_mock4	95_mock5
TAXA_001	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	2	1	1	0	0
TAXA_002	0	0	0	0	0	22	27	20	15	25	33	35	35	34	21	20	20	21	13	18
TAXA_003	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_004	711	743	750	731	753	731	763	772	764	719	446	442	496	459	459	160	162	155	154	155
TAXA_005	428	435	437	449	399	746	730	732	732	746	1086	1067	1040	1048	1054	1380	1380	1395	1384	1390
TAXA_006	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_007	1	1	2	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
TAXA_008	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_009	0	0	1	1	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0
TAXA_010	1595	1593	1592	1557	1604	2787	2804	2824	2767	2741	2257	2239	2225	2231	2248	936	940	947	946	902
TAXA_011	16	18	17	14	16	29	26	22	26	28	7	7	9	10	10	0	4	3	4	0
TAXA_012	3	1	2	2	2	0	4	5	3	0	0	3	0	0	0	0	0	0	0	0
TAXA_013	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_014	2	2	4	1	3	13	7	13	12	10	8	9	7	6	16	1	5	0	0	0
TAXA_015	3	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_016	2	2	3	2	3	5	5	4	7	9	0	0	0	0	0	0	0	0	0	0
TAXA_017	15	13	7	16	14	11	8	10	15	13	4	6	8	9	7	3	0	0	0	4
TAXA_018	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_019	0	0	0	0	0	4	9	6	6	3	2	6	5	5	5	0	4	1	2	2
TAXA_020	277	258	280	265	252	657	639	604	628	626	1291	1334	1307	1296	1286	2615	2643	2598	2603	2673
TAXA_021	8	8	7	10	11	20	23	28	22	20	32	27	32	30	23	33	21	25	20	20
TAXA_022	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_023	3	4	3	3	3	6	11	8	7	9	3	5	3	3	5	1	3	3	2	0
TAXA_024	16	17	23	14	18	18	15	20	14	19	11	11	7	14	14	5	0	0	4	0
TAXA_025	37	38	48	44	43	85	93	74	71	95	54	48	55	61	49	28	24	18	20	15
TAXA_026	3	3	3	5	5	0	0	4	0	5	0	3	0	3	0	0	0	0	0	0
TAXA_027	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_028	0	0	0	0	0	1	4	2	3	2	0	0	1	1	0	2	1	0	2	2
TAXA_029	6	6	6	5	6	13	21	17	17	16	28	25	27	26	30	29	25	35	21	27
TAXA_030	13	15	13	11	10	23	28	16	22	25	30	27	27	37	28	38	35	41	37	34
TAXA_031	9	5	7	6	8	17	20	13	19	16	11	11	10	7	9	12	12	10	16	10
TAXA_032	3	6	3	3	6	9	12	12	15	14	6	18	21	15	9	9	11	10	15	9
TAXA_033	1	2	2	1	2	4	5	3	3	5	5	5	3	3	3	7	3	6	7	0
TAXA_034	0	0	0	0	0	0	1	0	0	0	2	2	1	0	0	0	1	0	1	0
TAXA_035	0	0	0	0	0	3	1	2	3	3	4	0	1	1	1	0	0	1	0	0
TAXA_036	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_037	144	150	157	162	149	285	292	294	286	291	164	170	161	159	160	55	57	50	55	59
TAXA_038	1506	1487	1485	1424	1466	4391	4366	4317	4342	4336	5045	5055	5021	5046	5008	5266	5291	5262	5267	5241
TAXA_039	8	5	7	7	5	7	9	5	5	5	4	4	3	4	0	0	0	0	0	0
TAXA_040	2	6	4	5	3	10	8	9	8	7	4	0	5	7	0	0	0	0	0	3
TAXA_041	1	2	1	3	2	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0
TAXA_042	44	52	43	44	45	78	79	78	74	80	43	45	50	56	38	16	19	19	20	19
TAXA_043	1519	1557	1538	1492	1512	3124	3169	3109	3125	3118	3493	3488	3468	3450	3467	3596	3598	3572	3587	3584
TAXA_044	11	12	11	7	8	16	14	12	6	10	4	3	5	0	7	0	0	0	0	0
TAXA_045	4	2	2	3	3	0	0	3	0	3	5	0	0	0	0	0	0	0	0	0
TAXA_046	1	2	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_047	414	425	404	395	388	958	927	911	921	927	555	542	531	545	515	181	194	187	191	189
TAXA_048	16	14	14	17	17	28	32	32	36	29	24	25	20	20	20	5	7	3	0	5
TAXA_049	8	9	5	7	9	22	11	16	19	18	8	15	12	15	10	6	0	4	0	0
TAXA_050	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_051	22	24	28	20	23	64	66	59	53	63	26	41	38	37	30	15	16	9	13	15
TAXA_052	550	530	554	526	523	1577	1578	1541	1580	1574	1473	1499	1430	1466	1470	1043	1031	1050	1056	1073
TAXA_053	2	2	1	2	2	11	6	14	9	10	4	6	4	0	4	0	0	0	3	0
TAXA_054	7	10	7	10	9	18	17	18	22	21	4	9	13	8	12	0	3	0	3	3
TAXA_055	0	0	0	0	0	1	1	4	2	1	1	2	0	0	0	1	1	2	1	1
TAXA_056	4	4	3	2	4	0	0	0	0	0	6	4	4	3	5	0	0	0	0	0
TAXA_057	5	7	6	5	5	10	12	11	11	11	16	17	15	11	22	7	6	5	5	7
TAXA_058	3	1	2	3	3	7	4	6	7	7	8	7	5	6	5	3	0	3	0	3
TAXA_059	1433	1461	1465	1418	1412	5026	5082	4988	4997	4996	5835	5875	5854	5865	5783	6088	6108	6071	6077	6073
TAXA_060	47	46	53	56	50	162	137	170	172	154	171	157	129	143	163	119	98	102	104	90
TAXA_061	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	1	3	4	0	1
TAXA_062	4	3	3	4	4	10	12	9	12	10	4	3	4	0	3	0	0	0	3	0
TAXA_063	1722	1727	1717	1680	1666	4344	4325	4285	4298	4280	4864	4848	4809	4830	4825	4968	4990	4911	4945	4931
TAXA_064	6	5	6	6	5	12	10	14	13	12	5	3	10	8	8	5	0	0	0	3
TAXA_065	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_066	15	13	19	12	21	28	39	28	26	29	18	15	17	13	13	5	7	11	5	7
TAXA_067	16	20	16	20	22	29	28	25	30	33	12	17	11	14	18	6	8	7	7	7
TAXA_068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TAXA_069	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	1	1	1
TAXA_070	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_071	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_072	1487	1478	1494	1450	1449	3063	3122	3074	3089	3097	3553	3574	3537	3540	3548	3732	3752	3739	3751	3759
TAXA_073	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_074	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_075	2	2	3	1	1	6	5	5	6	6	3	4	3	3	5	3	0	0	0	0
TAXA_076	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_077	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_078	9	6	8	8	7	16	14	15	16	18	18	19	16	10	17	2	5	3	5	6
TAXA_079	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_080	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_081	9	9	8	9	8	6	11	4	12	11	0	7	4	3	4	4	3	0	0	0
TAXA_082	2	4	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_083	1	1	2	2	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_084	1	1	1	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
TAXA_085	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_086	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_087	1	0	0	1	1	2	2	1	2	1	0	0	0	0	3	0	0	0	0	0
TAXA_088	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_089	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_090	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_091	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_092	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_093	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_094	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_095	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_096	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_097	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_098	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_099	24	32	25	27	25	52	60	49	60	40	60	60	69	69	62	22	25	18	27	20
TAXA_100	5	7	7	5	4	18	21	21	22	15	14	13	14	14	17	0	3	3	10	5
TAXA_101	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_102	3	5	4	4	2	4	4	3	7	3	7	9	8	8	10	0	0	0	0	3
TAXA_103	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
TAXA_104	0	1	0	0	1	2	0	1	3	2	0	0	2	3	2	3	2	1	0	3
TAXA_105	256	257	277	257	262	1127	1117	1116	1101	1072	2112	2069	2014	2139	2077	3587	3549	3540	3479	3440
TAXA_106	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_107	4	2	5	4	3	13	12	8	13	19	20	11	22	14	19	12	11	6	9	7
TAXA_108	1	2	1	1	2	6	4	5	3	6	0	0	0	0	0	0	0	0	0	0
TAXA_109	0	0	0	0	0	1	1	2	0	0	2	1	0	2	2	1	0	0	1	1
TAXA_110	1	1	1	1	0	4	3	3	4	0	0	0	0	0	0	0	0	0	0	0
TAXA_111	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_112	3	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_113	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
TAXA_114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_115	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_116	1	1	1	1	1	0	0	0	0	3	0	3	3	3	4	4	4	5	6	3
TAXA_117	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	1	2	2	0
TAXA_118	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
TAXA_119	1	0	1	1	1	4	3	3	0	3	0	0	0	0	0	0	0	0	0	0
TAXA_120	3	3	3	4	4	6	3	5	0	0	5	6	8	10	7	3	6	3	5	0
TAXA_121	4	5	3	8	7	7	6	4	7	5	4	3	5	5	4	0	0	0	0	0
TAXA_122	8	7	6	5	6	16	17	19	20	17	10	12	13	11	11	3	4	3	0	7
TAXA_123	11	13	11	11	13	34	34	34	41	38	19	30	32	26	31	11	21	16	21	14
TAXA_124	131	124	126	127	124	368	364	357	358	360	439	419	448	436	431	311	311	272	296	305
TAXA_125	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_126	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_127	7	3	8	7	8	9	7	6	8	10	0	3	0	0	4	0	0	0	0	0
TAXA_128	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
TAXA_129	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_130	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_131	3	3	2	2	3	6	6	5	7	5	3	3	0	0	0	0	0	0	0	0
TAXA_132	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_133	2	2	1	2	1	3	5	6	6	4	6	3	9	0	6	0	3	3	0	0
TAXA_134	3	4	7	2	4	5	8	5	6	8	5	4	7	4	8	0	4	3	4	4
TAXA_135	1	1	0	1	1	0	0	0	0	3	5	0	0	3	0	0	0	0	0	0
TAXA_136	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_137	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_138	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_139	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_140	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_141	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_142	1	1	1	1	1	0	3	0	0	4	0	0	0	4	5	0	6	3	6	0
TAXA_143	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_144	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_145	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_146	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_147	0	0	0	0	0	0	4	0	5	5	0	0	3	0	0	0	0	0	0	0
TAXA_148	2	1	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_149	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_150	0	1	0	1	0	6	6	5	6	8	4	6	3	3	4	3	0	0	4	5
TAXA_151	1	3	2	2	2	0	0	4	0	5	0	3	5	0	0	0	0	0	0	0
TAXA_152	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_153	19	20	23	20	24	70	69	67	69	65	66	67	82	71	64	26	22	21	26	28
TAXA_154	56	61	60	49	54	130	140	153	143	130	100	94	101	91	93	37	40	39	34	31
TAXA_155	4	5	3	1	6	6	9	10	6	7	7	11	6	3	10	3	0	0	0	0
TAXA_156	3	6	4	4	5	30	20	25	29	22	44	45	43	53	50	33	20	30	31	22
TAXA_157	1	2	1	3	1	8	3	3	7	7	7	6	11	9	8	0	0	0	0	0
TAXA_158	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_159	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_160	1	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
TAXA_161	0	0	0	0	0	4	0	5	3	0	0	0	0	0	0	0	0	0	0	0
TAXA_162	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_163	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_164	0	1	0	0	1	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_165	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_166	4	5	5	1	4	6	5	5	5	3	4	3	0	3	0	0	0	0	0	0
TAXA_167	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_168	1	1	2	0	1	4	3	3	0	4	8	4	7	11	8	8	10	11	9	14
TAXA_169	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAXA_170	0	0	1	2	1	5	3	0	0	6	4	4	0	5	6	0	0	0	3	0
